frame,n_hydrophobic,n_polar,n_pos_charged,n_neg_charged,n_other,n_total,frac_hydrophobic
130,13,3,3,0,0,19,0.6842105263157895
131,13,2,2,0,0,17,0.7647058823529411
132,14,3,2,0,0,19,0.7368421052631579
133,12,3,2,0,0,17,0.7058823529411765
134,11,3,2,0,0,16,0.6875
135,12,3,2,0,0,17,0.7058823529411765
136,14,2,2,0,0,18,0.7777777777777778
137,12,2,2,0,0,16,0.75
138,14,2,2,0,0,18,0.7777777777777778
139,12,2,2,0,0,16,0.75
140,14,2,2,0,0,18,0.7777777777777778
141,14,3,2,0,0,19,0.7368421052631579
142,15,3,2,0,0,20,0.75
143,12,3,2,0,0,17,0.7058823529411765
144,15,4,2,0,0,21,0.7142857142857143
145,14,3,2,0,0,19,0.7368421052631579
146,14,1,2,0,0,17,0.8235294117647058
147,14,2,2,0,0,18,0.7777777777777778
148,14,1,2,0,0,17,0.8235294117647058
149,14,2,2,0,0,18,0.7777777777777778
150,14,4,2,0,0,20,0.7
151,13,3,2,0,0,18,0.7222222222222222
152,14,3,2,0,0,19,0.7368421052631579
153,14,4,2,0,0,20,0.7
154,14,2,2,0,0,18,0.7777777777777778
155,14,2,2,0,0,18,0.7777777777777778
156,13,2,2,0,0,17,0.7647058823529411
157,16,3,2,0,0,21,0.7619047619047619
158,14,2,2,0,0,18,0.7777777777777778
159,15,2,2,0,0,19,0.7894736842105263
160,14,2,2,0,0,18,0.7777777777777778
161,14,3,2,0,0,19,0.7368421052631579
162,14,3,2,0,0,19,0.7368421052631579
163,15,2,2,0,0,19,0.7894736842105263
164,14,2,2,0,0,18,0.7777777777777778
165,15,3,2,0,0,20,0.75
166,14,2,2,0,0,18,0.7777777777777778
167,15,2,2,0,0,19,0.7894736842105263
168,13,4,2,0,0,19,0.6842105263157895
169,15,3,2,0,0,20,0.75
170,14,3,2,0,0,19,0.7368421052631579
171,15,2,2,0,0,19,0.7894736842105263
172,15,2,2,0,0,19,0.7894736842105263
173,15,3,2,0,0,20,0.75
174,12,2,2,0,0,16,0.75
175,14,3,2,0,0,19,0.7368421052631579
176,14,2,2,0,0,18,0.7777777777777778
177,13,1,2,0,0,16,0.8125
178,14,3,2,0,0,19,0.7368421052631579
179,14,3,2,0,0,19,0.7368421052631579
180,14,3,2,0,0,19,0.7368421052631579
181,16,2,2,0,0,20,0.8
182,13,1,2,0,0,16,0.8125
183,13,2,2,0,0,17,0.7647058823529411
184,14,2,2,0,0,18,0.7777777777777778
185,14,2,2,0,0,18,0.7777777777777778
186,14,3,2,0,0,19,0.7368421052631579
187,14,2,2,0,0,18,0.7777777777777778
188,15,3,2,0,0,20,0.75
189,14,3,2,0,0,19,0.7368421052631579
190,15,2,2,0,0,19,0.7894736842105263
191,12,3,2,0,0,17,0.7058823529411765
192,13,1,2,0,0,16,0.8125
193,14,2,2,0,0,18,0.7777777777777778
194,14,2,2,0,0,18,0.7777777777777778
195,15,2,2,0,0,19,0.7894736842105263
196,14,3,2,0,0,19,0.7368421052631579
197,16,2,2,0,0,20,0.8
198,15,2,2,0,0,19,0.7894736842105263
199,14,2,2,0,0,18,0.7777777777777778
200,14,2,2,0,0,18,0.7777777777777778
201,13,2,2,0,0,17,0.7647058823529411
202,15,2,2,0,0,19,0.7894736842105263
203,15,3,2,0,0,20,0.75
204,14,2,2,0,0,18,0.7777777777777778
205,14,2,2,0,0,18,0.7777777777777778
206,15,3,2,0,0,20,0.75
207,14,2,2,0,0,18,0.7777777777777778
208,14,2,2,0,0,18,0.7777777777777778
209,16,2,2,0,0,20,0.8
210,14,2,2,0,0,18,0.7777777777777778
211,14,2,2,0,0,18,0.7777777777777778
212,14,2,2,0,0,18,0.7777777777777778
213,15,2,2,0,0,19,0.7894736842105263
214,15,3,2,0,0,20,0.75
215,14,2,2,0,0,18,0.7777777777777778
216,15,2,2,0,0,19,0.7894736842105263
217,16,1,2,0,0,19,0.8421052631578947
218,13,2,2,0,0,17,0.7647058823529411
219,16,2,2,0,0,20,0.8
220,14,3,2,0,0,19,0.7368421052631579
221,15,2,2,0,0,19,0.7894736842105263
222,15,2,2,0,0,19,0.7894736842105263
223,16,3,2,0,0,21,0.7619047619047619
224,15,2,2,0,0,19,0.7894736842105263
225,15,2,2,0,0,19,0.7894736842105263
226,15,3,2,0,0,20,0.75
227,14,1,2,0,0,17,0.8235294117647058
228,14,1,2,0,0,17,0.8235294117647058
229,14,3,2,0,0,19,0.7368421052631579
230,14,3,2,0,0,19,0.7368421052631579
231,14,1,2,0,0,17,0.8235294117647058
232,15,3,2,0,0,20,0.75
233,14,2,2,0,0,18,0.7777777777777778
234,15,2,2,0,0,19,0.7894736842105263
235,14,3,2,0,0,19,0.7368421052631579
236,15,3,2,0,0,20,0.75
237,14,2,2,0,0,18,0.7777777777777778
238,15,2,2,0,0,19,0.7894736842105263
239,15,3,2,0,0,20,0.75
240,15,4,2,0,0,21,0.7142857142857143
241,15,2,2,0,0,19,0.7894736842105263
242,15,2,2,0,0,19,0.7894736842105263
243,15,2,2,0,0,19,0.7894736842105263
244,13,3,2,0,0,18,0.7222222222222222
245,12,3,2,0,0,17,0.7058823529411765
246,13,2,2,0,0,17,0.7647058823529411
247,12,2,2,0,0,16,0.75
248,15,2,2,0,0,19,0.7894736842105263
249,15,3,2,0,0,20,0.75
250,14,2,2,0,0,18,0.7777777777777778
251,14,2,2,0,0,18,0.7777777777777778
252,12,1,2,0,0,15,0.8
253,15,2,2,0,0,19,0.7894736842105263
254,14,2,2,0,0,18,0.7777777777777778
255,14,2,2,0,0,18,0.7777777777777778
256,15,3,2,0,0,20,0.75
257,15,2,2,0,0,19,0.7894736842105263
258,15,2,2,0,0,19,0.7894736842105263
259,13,2,2,0,0,17,0.7647058823529411
260,14,1,2,0,0,17,0.8235294117647058
