frame,n_hydrophobic,n_polar,n_pos_charged,n_neg_charged,n_other,n_total,frac_hydrophobic
130,10,3,4,1,0,18,0.5555555555555556
131,10,2,4,1,0,17,0.5882352941176471
132,11,2,4,1,0,18,0.6111111111111112
133,10,2,3,1,0,16,0.625
134,10,2,4,0,0,16,0.625
135,10,2,4,0,0,16,0.625
136,8,2,4,0,0,14,0.5714285714285714
137,9,2,2,0,0,13,0.6923076923076923
138,8,2,4,0,0,14,0.5714285714285714
139,11,2,4,0,0,17,0.6470588235294118
140,9,2,4,1,0,16,0.5625
141,9,2,4,1,0,16,0.5625
142,9,3,4,1,0,17,0.5294117647058824
143,10,2,4,0,0,16,0.625
144,10,2,4,1,0,17,0.5882352941176471
145,8,2,4,1,0,15,0.5333333333333333
146,9,2,4,1,0,16,0.5625
147,10,2,4,2,0,18,0.5555555555555556
148,11,2,4,1,0,18,0.6111111111111112
149,10,2,4,1,0,17,0.5882352941176471
150,9,2,4,1,0,16,0.5625
151,10,2,4,0,0,16,0.625
152,10,2,4,2,0,18,0.5555555555555556
153,9,2,4,0,0,15,0.6
154,10,2,4,0,0,16,0.625
155,8,2,4,0,0,14,0.5714285714285714
156,9,2,4,0,0,15,0.6
157,10,3,4,0,0,17,0.5882352941176471
158,9,2,4,0,0,15,0.6
159,10,2,4,0,0,16,0.625
160,10,2,4,0,0,16,0.625
161,10,2,4,1,0,17,0.5882352941176471
162,10,2,4,0,0,16,0.625
163,9,3,4,0,0,16,0.5625
164,10,3,4,0,0,17,0.5882352941176471
165,11,2,4,0,0,17,0.6470588235294118
166,9,2,4,0,0,15,0.6
167,9,2,4,0,0,15,0.6
168,10,3,4,1,0,18,0.5555555555555556
169,10,2,4,0,0,16,0.625
170,8,3,4,0,0,15,0.5333333333333333
171,10,2,4,1,0,17,0.5882352941176471
172,10,2,4,0,0,16,0.625
173,10,3,4,1,0,18,0.5555555555555556
174,7,2,4,0,0,13,0.5384615384615384
175,8,2,4,0,0,14,0.5714285714285714
176,11,2,4,0,0,17,0.6470588235294118
177,9,2,4,1,0,16,0.5625
178,9,2,4,0,0,15,0.6
179,9,2,4,0,0,15,0.6
180,9,2,4,0,0,15,0.6
181,9,2,4,0,0,15,0.6
182,8,2,4,0,0,14,0.5714285714285714
183,7,2,4,0,0,13,0.5384615384615384
184,9,3,4,0,0,16,0.5625
185,10,2,4,0,0,16,0.625
186,9,2,4,1,0,16,0.5625
187,9,2,4,0,0,15,0.6
188,8,3,4,0,0,15,0.5333333333333333
189,10,3,4,0,0,17,0.5882352941176471
190,11,3,4,0,0,18,0.6111111111111112
191,8,3,4,0,0,15,0.5333333333333333
192,10,3,4,0,0,17,0.5882352941176471
193,10,3,4,0,0,17,0.5882352941176471
194,8,2,4,0,0,14,0.5714285714285714
195,9,2,4,0,0,15,0.6
196,11,1,3,0,0,15,0.7333333333333333
197,10,2,4,0,0,16,0.625
