feature_kind,n_regions_tested,n_regions_significant,top_region,top_region_p,top_region_q,top_region_d
mean,5,5,Gate,0.0014430400011375345,0.01082280000853151,-0.5644805492298829
late_mean,5,4,Gate,0.001424696124957744,0.01082280000853151,-0.6762196258434549
slope,5,2,Whole,0.026795543458124384,0.04093686444039486,-0.20454478521950475
