seq_id,ligand_region,n_frames,window_start_ns,window_end_ns,gate_bridge_occupancy,latch_bridge_occupancy,co_occurrence_occupancy,triple_bridge_occupancy,mean_n_triple_bridge_waters,first_appearance_ns,n_runs,n_distinct_waters,mean_run_duration_ns,median_run_duration_ns,seq_type
pair_0782_nb,core,1334,0.0,500.0,0.3613,0.5285,0.2774,0.1732,0.2001,27.75,150,249,0.5775,0.375,False Positive
pair_0811_nb,core,1334,0.0,500.0,0.2714,0.2991,0.2016,0.1844,0.1897,1.5,119,155,0.7752,0.375,False Positive
pair_0868_nb,core,1334,0.0,500.0,0.0105,0.0105,0.0082,0.0082,0.0082,1.875,8,11,0.5156,0.375,False Positive
pair_0876_nb,core,1334,0.0,500.0,0.1897,0.7586,0.1807,0.1387,0.1469,0.0,129,175,0.5378,0.375,False Positive
pair_0878_nb,core,1334,0.0,500.0,0.8718,0.8591,0.7789,0.5832,0.7429,14.625,229,311,1.274,0.75,False Positive
pair_0883_nb,core,1334,0.0,500.0,0.5817,0.5532,0.3238,0.2001,0.2144,0.375,168,173,0.596,0.375,False Positive
pair_0891_nb,core,1334,0.0,500.0,0.5532,0.7924,0.4798,0.3373,0.3471,22.875,217,185,0.7776,0.375,False Positive
pair_0908_nb,core,1334,0.0,500.0,0.3988,0.5675,0.3343,0.2751,0.2834,0.75,186,104,0.7399,0.375,False Positive
pair_0932_nb,core,1334,0.0,500.0,0.5525,0.8733,0.5195,0.4633,0.5772,0.375,220,416,1.0534,0.75,False Positive
pair_0940_nb,core,1334,0.0,500.0,0.5157,0.9213,0.4843,0.1807,0.1882,0.375,177,194,0.5106,0.375,False Positive
pair_0974_nb,core,1334,0.0,500.0,0.1057,0.8643,0.096,0.0645,0.069,0.0,61,51,0.5287,0.375,False Positive
pair_0977_nb,core,1334,0.0,500.0,0.2714,0.9303,0.2324,0.1132,0.1207,2.625,115,152,0.4924,0.375,False Positive
pair_1011_nb,core,1334,0.0,500.0,0.6859,0.9828,0.6844,0.59,0.8141,10.5,157,341,1.8798,0.75,False Positive
pair_1023_nb,core,1334,0.0,500.0,0.2564,0.988,0.2489,0.1769,0.1957,0.375,144,160,0.6146,0.375,False Positive
pair_1102_nb,core,1334,0.0,500.0,0.6612,0.8651,0.572,0.2466,0.2759,1.5,212,326,0.582,0.375,False Positive
pair_1313_nb,core,1334,0.0,500.0,0.8928,0.9333,0.8793,0.8613,0.8853,0.0,39,75,11.0481,0.75,False Positive
pair_1397_nb,core,1334,0.0,500.0,0.6874,0.8276,0.533,0.4138,0.4528,0.75,284,415,0.7289,0.375,False Positive
pair_1654_nb,core,1334,0.0,500.0,0.7144,0.8696,0.6837,0.6177,0.7354,1.125,238,453,1.2983,0.75,False Positive
pair_1656_nb,core,1334,0.0,500.0,0.3186,0.9018,0.3141,0.2526,0.2991,0.375,199,144,0.6351,0.375,False Positive
pair_1658_nb,core,1334,0.0,500.0,0.575,0.8508,0.5577,0.5105,0.5285,0.375,86,103,2.9695,0.375,False Positive
pair_1671_nb,core,1334,0.0,500.0,0.2721,0.2729,0.1552,0.1252,0.1364,0.0,124,152,0.505,0.375,False Positive
pair_1679_nb,core,1334,0.0,500.0,0.7084,0.7421,0.5375,0.3808,0.4288,1.125,266,464,0.7162,0.375,False Positive
pair_1709_nb,core,1334,0.0,500.0,0.1619,0.7931,0.1424,0.1192,0.1237,0.0,115,129,0.5185,0.375,False Positive
pair_1710_nb,core,1334,0.0,500.0,0.3321,0.7541,0.3036,0.2684,0.2804,0.0,105,99,1.2786,0.375,False Positive
pair_1737_nb,core,1334,0.0,500.0,0.8703,0.5555,0.5285,0.4033,0.5022,11.25,207,336,0.9746,0.75,False Positive
pair_1758_nb,core,1334,0.0,500.0,0.6942,0.9768,0.6814,0.599,0.6679,0.375,214,318,1.4001,0.75,False Positive
pair_1784_nb,core,1334,0.0,500.0,0.3591,0.8763,0.3418,0.1972,0.2099,0.0,166,210,0.5941,0.375,False Positive
pair_1785_nb,core,1334,0.0,500.0,0.6402,0.3186,0.2766,0.2474,0.3006,0.375,145,181,0.8534,0.75,False Positive
pair_1792_nb,core,1334,0.0,500.0,0.7069,0.6244,0.4858,0.2571,0.2781,6.0,212,228,0.6067,0.375,False Positive
pair_1835_nb,core,1334,0.0,500.0,0.2631,0.9505,0.2609,0.1529,0.1657,6.75,172,217,0.4448,0.375,False Positive
pair_1847_nb,core,1334,0.0,500.0,0.4993,0.8148,0.4423,0.3456,0.3913,0.0,223,380,0.7752,0.375,False Positive
pair_1914_nb,core,1334,0.0,500.0,0.4018,0.7819,0.3201,0.2196,0.2331,1.125,151,157,0.7276,0.375,False Positive
pair_1922_nb,core,1334,0.0,500.0,0.41,0.4708,0.1784,0.009,0.009,146.625,6,3,0.75,0.5625,False Positive
pair_1938_nb,core,1334,0.0,500.0,0.3073,0.9213,0.2931,0.1994,0.2241,1.125,150,224,0.665,0.375,False Positive
pair_1961_nb,core,1334,0.0,500.0,0.2466,0.7474,0.2174,0.1724,0.1837,1.125,156,191,0.5529,0.375,False Positive
pair_0008_low_pkt,core,1334,0.0,500.0,0.4678,0.9513,0.4543,0.1897,0.2024,0.0,184,229,0.5156,0.375,Low Confidence
pair_0393_low_pkt,core,1334,0.0,500.0,0.8283,0.6822,0.5772,0.3148,0.3621,0.0,220,419,0.7159,0.375,Low Confidence
pair_0482_low_pkt,core,1334,0.0,500.0,0.6612,0.9175,0.6327,0.4933,0.5967,0.375,238,552,1.0368,0.375,Low Confidence
pair_0482_nb,core,1334,0.0,500.0,0.5892,0.8996,0.5345,0.1634,0.1762,3.375,153,203,0.5343,0.375,False Positive
pair_1331_low_pkt,core,1334,0.0,500.0,0.5622,0.8531,0.5225,0.3328,0.3823,0.375,186,316,0.8952,0.375,Low Confidence
pair_1931_low_pkt,core,1334,0.0,500.0,0.7564,0.5307,0.434,0.2654,0.2781,0.0,250,242,0.531,0.375,Low Confidence
pair_0065_low_pkt,core,1334,0.0,500.0,0.5645,0.8636,0.5172,0.4475,0.494,0.375,238,296,0.9407,0.75,Low Confidence
pair_0947_low_pkt,core,1334,0.0,500.0,0.7219,0.7819,0.5502,0.4693,0.5105,5.625,284,74,0.8266,0.375,Low Confidence
pair_0948_low_pkt,core,1334,0.0,500.0,0.5652,0.913,0.533,0.3793,0.4018,2.25,243,284,0.7809,0.375,Low Confidence
pair_1413_low_pkt,core,1334,0.0,500.0,0.6349,0.8531,0.533,0.2054,0.2324,3.0,184,266,0.5584,0.375,Low Confidence
pair_0715_fail_gate,core,1334,0.0,500.0,0.8298,0.8793,0.7909,0.569,0.7024,1.5,290,761,0.9815,0.75,Fail Geometry
pair_1094_fail_gate,core,1334,0.0,500.0,0.7759,0.9138,0.7174,0.4483,0.5157,1.5,276,506,0.8125,0.375,Fail Geometry
pair_1682_fail_gate,core,1334,0.0,500.0,0.7916,0.9288,0.7466,0.4033,0.4603,0.0,270,442,0.7472,0.375,Fail Geometry
pair_1739_fail_gate,core,1334,0.0,500.0,0.0832,0.0037,0.0022,0.0022,0.0022,86.25,3,3,0.375,0.375,Fail Geometry
pair_1941_fail_gate,core,1334,0.0,500.0,0.4663,0.2196,0.1979,0.1724,0.1747,22.5,165,54,0.5227,0.375,Fail Geometry
pair_0014_fail_gate,core,1334,0.0,500.0,0.7271,0.8951,0.6612,0.2984,0.3636,0.0,171,349,0.8728,0.375,Fail Geometry
pair_0263_fail_gate,core,1334,0.0,500.0,0.464,0.7789,0.3726,0.1544,0.1829,1.125,130,177,0.5942,0.375,Fail Geometry
pair_0540_fail_gate,core,1334,0.0,500.0,0.521,0.8501,0.4805,0.4205,0.4603,19.125,251,222,0.8381,0.375,Fail Geometry
pair_0997_fail_gate,core,1334,0.0,500.0,0.7721,0.9745,0.7571,0.5532,0.6844,0.0,288,781,0.9609,0.75,Fail Geometry
pair_1745_fail_gate,core,1334,0.0,500.0,0.7301,0.6867,0.5952,0.5487,0.566,18.75,203,205,1.3522,0.75,Fail Geometry
bind_019_binder,core,1334,0.0,500.0,0.6724,0.4603,0.3846,0.2924,0.3231,0.375,154,328,0.9497,0.75,Binder
bind_020_binder,core,1334,0.0,500.0,0.4738,0.1499,0.1154,0.069,0.0712,1.875,77,90,0.4481,0.375,Binder
bind_022_binder,core,1334,0.0,500.0,0.6912,0.8126,0.563,0.3088,0.3343,0.0,229,302,0.6747,0.375,Binder
bind_034_binder,core,1334,0.0,500.0,0.5922,0.8051,0.5802,0.5292,0.5322,0.0,145,129,1.8259,0.75,Binder
bind_041_binder,core,1334,0.0,500.0,0.6319,0.4385,0.3103,0.2496,0.2714,4.5,164,265,0.7614,0.375,Binder
bind_043_binder,core,1334,0.0,500.0,0.6154,0.7436,0.5247,0.452,0.5037,27.375,88,185,2.5696,0.375,Binder
bind_069_binder,core,1334,0.0,500.0,0.1792,0.1739,0.1147,0.1049,0.1169,1.125,86,139,0.6105,0.375,Binder
bind_076_binder,core,1334,0.0,500.0,0.1867,0.6732,0.1064,0.0945,0.1004,1.875,74,68,0.6385,0.375,Binder
bind_080_binder,core,1334,0.0,500.0,0.2984,0.6274,0.2909,0.2616,0.2931,54.375,70,73,1.8696,0.375,Binder
bind_083_binder,core,1334,0.0,500.0,0.473,0.8651,0.4633,0.4198,0.4843,1.5,182,293,1.1538,0.375,Binder
bind_088_binder,core,1334,0.0,500.0,0.1852,0.8861,0.1732,0.0975,0.1072,0.0,92,88,0.5299,0.375,Binder
bind_099_binder,core,1334,0.0,500.0,0.7699,0.8111,0.7369,0.7241,0.7294,1.5,54,39,6.7083,1.125,Binder
bind_100_binder,core,1334,0.0,500.0,0.5772,0.5967,0.3546,0.1604,0.1732,0.0,83,137,0.9669,0.375,Binder
bind_101_binder,core,1334,0.0,500.0,0.2796,0.8786,0.2429,0.1897,0.1919,2.25,116,102,0.8179,0.375,Binder
bind_102_binder,core,1334,0.0,500.0,0.6319,0.8486,0.545,0.3396,0.3823,0.0,149,294,1.1401,0.375,Binder
bind_110_binder,core,1334,0.0,500.0,0.2129,0.5907,0.1552,0.0922,0.0975,2.625,85,93,0.5426,0.375,Binder
pair_3061_binder,core,1334,0.0,500.0,0.5562,0.6222,0.4205,0.3021,0.3118,8.25,160,135,0.9445,0.375,Binder
nonb_006_nb,core,1334,0.0,500.0,0.7654,0.94,0.7421,0.5637,0.7046,0.0,188,411,1.5,0.75,False Positive
nonb_008_nb,core,1334,0.0,500.0,0.7181,0.5667,0.4663,0.2144,0.2324,3.0,203,185,0.5283,0.375,False Positive
nonb_009_nb,core,1334,0.0,500.0,0.6469,0.2286,0.1724,0.1327,0.1447,0.375,96,111,0.6914,0.375,False Positive
nonb_010_nb,core,1334,0.0,500.0,0.5982,0.9115,0.5495,0.1972,0.2054,1.125,191,264,0.5164,0.375,False Positive
nonb_011_nb,core,1334,0.0,500.0,0.572,0.4955,0.3321,0.2264,0.2601,46.5,168,328,0.6741,0.375,False Positive
nonb_013_nb,core,1334,0.0,500.0,0.1852,0.075,0.0232,0.0135,0.0142,3.75,13,16,0.5192,0.375,False Positive
nonb_014_nb,core,1334,0.0,500.0,0.2279,0.5292,0.2091,0.1462,0.1567,1.875,77,76,0.9497,0.75,False Positive
nonb_017_nb,core,1334,0.0,500.0,0.2414,0.5907,0.2301,0.1724,0.1859,3.375,124,201,0.6956,0.375,False Positive
nonb_018_nb,core,1334,0.0,500.0,0.5037,0.3433,0.1792,0.0667,0.0697,3.0,80,92,0.4172,0.375,False Positive
nonb_019_nb,core,1334,0.0,500.0,0.8103,0.0472,0.039,0.0232,0.0232,9.0,20,21,0.5813,0.375,False Positive
nonb_021_nb,core,1334,0.0,500.0,0.7264,0.3748,0.3231,0.2369,0.2856,0.75,141,203,0.8404,0.375,False Positive
nonb_022_nb,core,1334,0.0,500.0,0.6364,0.3853,0.2961,0.1312,0.1417,10.5,103,128,0.6371,0.375,False Positive
nonb_023_nb,core,1334,0.0,500.0,0.1229,0.0577,0.054,0.048,0.0495,0.375,38,25,0.6316,0.375,False Positive
nonb_024_nb,core,1334,0.0,500.0,0.6544,0.8598,0.6267,0.5705,0.6409,0.75,271,453,1.053,0.75,False Positive
nonb_025_nb,core,1334,0.0,500.0,0.1664,0.9513,0.1612,0.1199,0.1349,0.375,85,117,0.7059,0.375,False Positive
nonb_026_nb,core,1334,0.0,500.0,0.3816,0.8208,0.3568,0.3021,0.3208,0.75,235,181,0.6431,0.375,False Positive
nonb_029_nb,core,1334,0.0,500.0,0.6177,0.904,0.5795,0.4115,0.4648,2.625,268,442,0.7682,0.375,False Positive
nonb_032_nb,core,1334,0.0,500.0,0.5877,0.9483,0.5802,0.5255,0.5825,1.875,218,305,1.2058,0.75,False Positive
nonb_046_nb,core,1334,0.0,500.0,0.6807,0.7826,0.6049,0.5465,0.6199,0.75,75,130,3.645,0.375,False Positive
nonb_047_nb,core,1334,0.0,500.0,0.6597,0.2826,0.2774,0.2729,0.3178,1.5,15,66,9.1,1.125,False Positive
nonb_048_nb,core,1334,0.0,500.0,0.7489,0.7804,0.6357,0.4198,0.467,4.5,220,337,0.9545,0.375,False Positive
nonb_049_nb,core,1334,0.0,500.0,0.3996,0.8448,0.3741,0.3058,0.3771,1.5,148,256,1.0338,0.75,False Positive
nonb_050_nb,core,1334,0.0,500.0,0.7339,0.9198,0.6717,0.2466,0.2691,0.0,227,218,0.5435,0.375,False Positive
