feature,n_binder,n_fp,mean_binder,mean_fp,cohens_d,auc,p,q
first_appearance_ns,47,48,5.170212765957447,1.3359375,0.5610490300771986,0.5997340425531914,0.09105609265893594,0.3302333904353021
latch_bridge_occupancy,47,48,0.7413765957446807,0.7829083333333333,-0.20501961881732142,0.4100177304964539,0.13171607724394996,0.3302333904353021
triple_bridge_occupancy,47,48,0.36939361702127665,0.42860000000000004,-0.27480597915081173,0.4128989361702128,0.1445722112839184,0.3302333904353021
gate_bridge_occupancy,47,48,0.5797170212765957,0.63189375,-0.24069967903666536,0.4168882978723405,0.16392830953301574,0.3302333904353021
co_occurrence_occupancy,47,48,0.4869,0.5455166666666666,-0.2691605096289633,0.4184397163120568,0.17195876074290706,0.3302333904353021
mean_n_triple_bridge_waters,47,48,0.4278148936170213,0.4849791666666667,-0.2248188616232372,0.4306294326241136,0.24555232439893881,0.3302333904353021
n_runs,47,48,166.38297872340425,182.47916666666666,-0.24021109287671588,0.43240248226950356,0.25784934314239993,0.3302333904353021
mean_run_duration_ns,47,48,1.276563829787234,1.3661666666666665,-0.06571976442968132,0.4332890070921986,0.26418671234824165,0.3302333904353021
median_run_duration_ns,47,48,0.6143617021276596,0.59375,0.04942442974429497,0.5084219858156028,0.8758091765061682,0.9731213072290757
n_distinct_waters,47,48,313.02127659574467,313.8958333333333,-0.005050755325849478,0.500886524822695,0.9910913414237594,0.9910913414237594
