feature,n_binder,n_fp,mean_binder,mean_fp,cohens_d,auc,p,q
mean_run_duration_ns,53,122,1.3259867924528301,1.02065,0.23684832354288965,0.6587534797401794,0.0008632048673047703,0.008632048673047704
gate_bridge_occupancy,53,122,0.5829396226415094,0.48835245901639346,0.4274834026617371,0.6233374574698421,0.009651178283643988,0.047428048254554385
triple_bridge_occupancy,53,122,0.3436094339622642,0.2657819672131147,0.4484891128758326,0.6122796164553046,0.01847778135500182,0.047428048254554385
co_occurrence_occupancy,53,122,0.459111320754717,0.3785770491803279,0.38850820154330934,0.6084905660377359,0.022825438756392993,0.047428048254554385
mean_n_triple_bridge_waters,53,122,0.38621509433962264,0.2996606557377049,0.421701532369009,0.6077946180018559,0.023714024127277192,0.047428048254554385
n_distinct_waters,53,122,277.3207547169811,221.14754098360655,0.3693006684339136,0.5901639344262295,0.05854933167267898,0.09758221945446495
first_appearance_ns,53,122,5.97877358490566,5.60655737704918,0.020168642398983163,0.5457779152489948,0.3311331664882039,0.4730473806974342
n_runs,53,122,153.39622641509433,155.63934426229508,-0.030387961159445517,0.47904423136405816,0.6610993087546849,0.7312852018244413
latch_bridge_occupancy,53,122,0.6886094339622642,0.6799967213114755,0.033579130139022056,0.48151871326940915,0.6991804109177746,0.7312852018244413
median_run_duration_ns,53,122,0.4669811320754717,0.45645491803278687,0.061274492662897945,0.5116764614908753,0.7312852018244413,0.7312852018244413
