metric,mean,sd
accuracy,0.7607535321821036,0.08144314435749338
balanced_accuracy,0.7504715522572665,0.09078632448079192
roc_auc,0.8214182642754071,0.07114068384124721
f1,0.7401360544217688,0.06428481444858479
precision,0.7856009070294785,0.11473866885220826
recall,0.7092764378478665,0.06420434336459126
permutation_balanced_accuracy_observed,0.7504715522572665,
permutation_balanced_accuracy_null_mean,0.49508815192743766,0.06857300843734593
permutation_balanced_accuracy_pvalue,0.009900990099009901,
