Sequence,Group,Gate (r84-90) mean (A),Gate (r84-90) SD (A),Latch (r114-118) mean (A),Latch (r114-118) SD (A),Lb7a5 (r148-155) mean (A),Lb7a5 (r148-155) SD (A),C-term helix (r154-166) mean (A),C-term helix (r154-166) SD (A)
cdca_001_binder,Binder,0.49871,0.14508,0.4228,0.05629,0.71175,0.16929,0.53077,0.10858
glca_001_binder,Binder,0.45886,0.09725,0.4586,0.10584,1.52125,0.35104,0.58915,0.15163
lca3s_001_binder,Binder,0.33271,0.05262,0.3818,0.07193,0.8405,0.18455,0.55608,0.19077
lca_001_binder,Binder,0.46614,0.11814,0.6674,0.25571,0.71988,0.1704,0.48285,0.17648
